Timeline,Start time,Duration,Row,Instance number,<flag>Nouveau drapeau,Adversaire,Contexte,Date,Event,GameTime,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Period,Player,Pourcentage,Qualite,Score final,Set Play Phase,TIME PERIOD,Team,Type action,Zone,🔸 [OP] Zonal Defence,🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Def Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Build/Progression Phase,🔹[IP] Final Third Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],Ungrouped,Notes,Flags
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,22.4541691431059,Defending Corner(L)✅,0,,,,,,00:43:32,,,,,,,2,,,,,Left,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,24.850128023162142,[OP2a] High Press MFM(Marking switches)🚧🔎,0,,,,,,00:43:54,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,33.75015544995449,[OP2a] High Press MFM(2 phases)✅,0,,,,,,"00:44:26, 00:43:54",,,,,,,"2, 2",,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,39.39924072920985,"[IP3a] Build (3+1, 6, IB)🚧",0,,,,,,00:45:24,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,31.169650480581367,[OP1a] GK Restart MFM✅,0,,,,,,00:34:55,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,25.0,[IP3b] Attacking (4-3-3)❌,0,,,,,,00:35:46,,,,,,,2,,,,,,,,,,,,,,,,Crosses,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,25.0,[IP4] Attack the Box(cross)❌,0,,,,,,00:35:46,,,,,,,2,,,,,,,,,,,,,,,,Crosses,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,42.018366879956375,Defensive Transition (Loss of Possession)❌,0,,,,,,00:35:55,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,36.16292587247244,[IP3b] Attacking (4-3-3)✅🔎,0,,,,,,00:36:34,,,,,,,2,,,,,,,,,,,,,,,In-Behind,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,19.99787323163946,Defensive Transition (Loss of Possession)✅,0,,,,,,00:36:51,,,,,,,2,,,,,,,,,,,,,,,,,,Counter Press,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,24.5,"[IP3b] Attacking (4-3-3, LTriangle)✅",0,,,,,,00:37:52,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,23.0,[IP4] Attack the Box(cross)❌,0,,,,,,00:37:52,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,21.753153177694912,Defensive Transition (Loss of Possession)✅,0,,,,,,00:37:59,,,,,,,2,,,,,,,,,,,,,,,,,,Counter Press,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,20.5,[IP4] Attack the Box(cross)❌,0,,,,,,00:38:26,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,18.44012284308701,Defensive Transition (Loss of Possession)✅,0,,,,,,00:38:27,,,,,,,2,,,,,,,,,,,Fast Attack,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,21.500118874716463,"[IP3b] Attacking (4-3-3, LTriangle)🚧",0,,,,,,00:30:20,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,25.07556073369051,Defensive Transition (Loss of Possession)✅,0,,,,,,00:30:22,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,25.730183219290666,"[IP3b] Attacking (4-3-3, L-RTriangles)✅",0,,,,,,00:31:50,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,12.650077731009333,[IP4] Attack the Box(eraly cross)❌,0,,,,,,00:32:02,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
250823_Burnley_Sunderland_ANALYST_1ANGLE,0.0,15.059954900793855,[OP1a] GK Restart MFM✅,0,,,,,,00:32:11,,,,,,,2,,,,,,,,,,,,,,,,,,,,,Nouveau drapeau
