Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅✅,Ungrouped,Notes,Flags
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,15.850067054274405,🔹[IP2]Low Build-up(around)✅,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.803935389157232,"🔹[OSP] Throw-in(R, MZ, to 9's feet)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,18.610113400095088,🔹[OSP] Free kick(deep central)🚧,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,48.70023775548907,"🔹[IP4]Attacking Phase(multiple phases, crosses)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,14.910081376365724,"🔹[OSP] Free kick(central, 1v1, cross)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.550146319128544,"🔸[OP1a]GK Restart(OS, switches, long)✅⭐️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,29.730154262586893,"🔹[IP1b]GK Restart(OS, around, IB)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,33.00372438697741,"🔹[OSP] Throw-in(R, long, 2nd phase)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,19.660093576030704,"🔸[OP1a]GK Restart(OS, long)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,21.140099980528703,"🔹[IP2]Low Build-up(short, turnover, regain)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,60.44815708891201,"🔹[IP4]Attacking Phase(multiple phases, through)✅✅⚽️",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,21.770146014069724,"🔸[OP2]High Press(OS, long, foul)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,11.290069498654702,"🔸[DSP] Free kick(L, deep)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.400195029769748,"🔹[IP1a]GK Restart(OS, aroud, into the 9)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,25.539994585881686,🔸[OP3b]Mid Block(zonal triggers)✅⭐️,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,15.32009723734518,"🔹[OSP] Free kick(deep, 2nd phase)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.72018409517841,"🔸[OP1a]GK Restart(OS, short)✅🔍",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,12.481914588467589,"🔹[IP2]Low Build-up(around, into the LW, lack of composure)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,15.318821398483124,"🔹[OSP] Throw-in(L, MZ, flip, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,26.450210356246316,"🔹[IP3b]Progression(LSide, through the 9)✅✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,27.542579895970448,"🔹[OSP] Corner(L, delivery)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.88136587917961,🔹🔸Defensive transition(C-Attack)✅⭐️,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,31.98022132412825,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.32015516354295,"🔸[OP4]Low Block(LSide, cross back post)✅🔍",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.160142360730788,🔸[DSP] Corner(R)✅,0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,40.47022831405047,"🔸[OP4]Low Block(compact, cross)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,27.920196269248663,"🔹[IP1b]GK Restart(around, IB, turnover)❌🔍",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,24.140131963456042,"🔸[DSP] Corner(R, back post, 1st contact lost)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,16.240098454532017,"🔸[DSP] Throw-in(R, HZ, long)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,10.030055172904213,"🔸[DSP] Throw-in(R, HZ, long)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,10.108522085184632,"🔸[DSP] Throw-in(R, 2-man, cross)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,32.43898541205908,"🔹[IP1b]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,23.950111268824912,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,16.440101504577797,"🔹[OSP] Throw-in(L, HZ, short)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,21.897984971757978,"🔹[OSP] Throw-in(L, HZ, long)✅✅",0,,,,,,,,,,,,,,,"✅✅, ✅✅",,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,11.700036577407445,"🔹[OSP] Throw-in(R, MZ, flip)🚧",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,20.48011919385499,"🔸[OP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,14.230073455330057,"🔸[OP2]High Press(long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,.
260117_Sunderland_CrystalPalace_ANALYST2ANGLES,0.0,15.095204925804865,🔹[IP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,.
