Timeline,Start time,Duration,Row,Instance number,<flag>.,<flag>Keep,Adversaire,Arthur,Assist,Bertrand,Contexte,Corner Taken,Date,Enzo,Event,GameTime,Granit,HALF TIME,Half,Journée,Lieu,MINUTE,Noah,Nordi,Pass,Period,Player,Pourcentage,Qualite,Score final,Shot Pattern of Play,Simon,TIME PERIOD,Team,Trai,Type action,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP],🔹[OSP],Ungrouped,Notes,Flags
251004_ManchesterUnited_Sunderland_ANALYST,0.0,31.26505945390818,"🔹[IP3b] Progression(no GK, 3-4-3, LSide work, switch IB, turnover)❌",0,,,,,,,,,,,,00:16:33,,,,,,,,,,2,,,,,,,,,,,,,,,,,,In-Behind,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,17.49011674828489,"🔹[IP2a] Low Build-up(opportunity to play through, long, turnover)❌",0,,,,,,,,,,,,00:12:58,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,24.270136882751103,"🔸[OP2] High Press(long IB, 1st contact lost, IB)❌",0,,,,,,,,,,,,00:13:39,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,14.310084432206168,"🔸[DSP] Defending Corner(R, 1st contact)❌",0,,,,,Miss,,,In-swinger,,,Pass,00:10:38,,,Second Half,,,,,,"Corner taken, Long ball, Chipped, Cross",2,Bruno Miguel Borges Fernandes,,,,Intentional assist,,,Manchester United,,,Center,Right,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,21.5,"🔹[IP1a] GK Restart(HBlock, turnover)❌",0,,,,,,,,,,,,00:10:01,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"Compact Shape: LONG, Compact Shape: LONG",,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,25.830041625162266,"🔸[OP2] High Press(1st contact, turnover, on the edge)❌",0,,,,,,,,,,,,00:10:18,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,15.100096012659378,"🔸[OP2] High Press(long, 2nd ball)✅",0,,,,,,,,,,,,00:11:06,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,29.370136851764073,"🔸[OP1b] GK Restart (8"", 1st contact, 2nd ball)❌",0,,,,,,,,,,,,00:11:30,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,10.880056703515038,"🔹[IP1a] GK Restart(HBlock, turnover)❌",0,,,,,,,,,,,,00:07:45,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.870077415411288,"🔸[OP1b] GK Restart (8"", 1st contact, 2nd ball)✅",0,,,,,,,,,,,,00:08:00,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,14.690074070328592,"🔹[OSP] Attacking Throw In(L, MZ)❌",0,,,,,,,,,,,,00:08:23,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"Left, Mid 1/3",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,21.83227757801069,"🔹[IP2a] Low Build-up(around, turnover)❌",0,,,,,,,,,,,,00:08:56,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,9.320057613378594,🔹🔸Defensive Transition(shot conceded)❌,0,,,,,,,,,,,,00:09:08,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,Counter Press,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,58.300936357289174,"🔹[IP1b] GK Restart(8"", LSide build-up, composure under pressure)✅",0,,,,,,,,,,,,00:09:16,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,12.310067676368817,"🔹[IP3b] Progression(no GK, 3-4-3, through)✅✅",0,,,,,,,,,,,,00:10:02,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,16.450108217325578,"🔹[OSP] Attacking Throw In(L, long)❌",0,,,,,,,,,,,,00:04:59,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"Left, Att 1/3, Long",,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,19.580076502546945,"🔸[OP1b] GK Restart (8"", HBlock)✅",0,,,,,,,,,,,,00:05:20,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,18.227784497183166,"🔹[IP3b] Progression(no GK, 3-4-3, LSide)❌",0,,,,,,,,,,,,00:05:38,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,26.65012497167845,"🔸[OP2] High Press(long, 2nd ball, on the edge)❌❌",0,,,,,,,,,,,,00:05:51,,,,,,,,,,2,,,,,,,,,,,,,,Crosses Conceded,,,,,,,,,,.
251004_ManchesterUnited_Sunderland_ANALYST,0.0,12.300062478741893,🔹[IP1a] GK Restart(HBlock)✅,0,,,,,,,,,,,,00:06:38,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,Compact Shape: LONG,,,,,.
