Timeline,Start time,Duration,Row,Instance number,<flag>.,GameTime,Period,✅✅,Ungrouped,Notes,Flags
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,12.720065217825322,"🔸[DSP] Throw-in(R, mid zone, block position?)🚧",0,,00:18:54,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,49.769339371386195,"🔹[IP4]Attacking Phase(L→R switch, cross)✅",0,,00:19:18,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,10.31005394699514,"🔹🔸Defensive transition(clearance, quick regain)✅",0,,00:20:07,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,35.49019141196732,"🔹[IP4]Attacking Phase(R→L switch, LW lost duel)🚧",0,,00:20:01,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,16.260079842832056,🔹🔸Defensive transition(quick regain)✅,0,,00:20:01,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,16.460085952558074,🔹[IP4]Attacking Phase(RB cross blocked)❌,0,,00:20:51,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,10.170056076828587,"🔸[DSP] Throw-in(L, mid zone)✅",0,,00:21:34,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,30.337827632261906,"🔸[DSP] Throw-in(L, mid zone, 2nd ball game)❌",0,,00:22:01,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,15.880073462994005,"🔸[DSP] Free kick(R, 1st contact, 2nd ball)🚧",0,,00:11:40,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,43.86925561982207,"🔹[IP1a]GK Restart(OS, short, patience)✅⭐️",0,,00:12:05,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,27.247748733288063,"🔹[IP4]Attacking Phase(inside pin, L-triangle, back-post cross)✅",0,,00:12:45,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,18.860089009748663,"🔸[OP1a]GK Restart(HBlock, 2nd ball, foul)❌",0,,00:13:53,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,20.91012711239,"🔸[DSP] Free kick(deep, central, 2 phases)🚧",0,,00:08:48,2,,,,.
260124_WestHamUnited_Sunderland_ANALYST3ANGLES,0.0,34.94014415896254,"🔹[IP4]Attacking Phase(2 phases, RSide cross)✅✅",0,,00:09:20,2,,,,.
