Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,HALF TIME,Journée,Lieu,MINUTE,Pourcentage,Qualite,Score final,TIME PERIOD,Type action,✅,✅✅,❌,❌❌,🔸🔹[OT] Clear the ball,🔸🔹[OT] Counter-attack,🔸🔹[OT] Keep the ball,🔹🔸[DT] Counter-attack,🔹🔸[DT] Quick regain,Ungrouped,Notes,Flags
260228_Bournemouth_Sunderland_ANALYST,0.0,36.08203452264479,"🔹[OSP] Free kick(R, wide, blocks/runs, delivery, 2nd phase)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.339225581604296,🔸[OP3b]Mid Block(LSide dynamic)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,13.289954648525963,"🔸🔹Offensive transition(deep regain, into the 9, turnover)❌",0,,,,,,,,,,,,,,,,,,,,,,,🔸🔹[OT] Keep the ball,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,15.710117983862801,🔸[OP3b]Mid Block(RSide dynamic)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,23.040368507957282,"🔸[OP3b]Mid Block(RSide, through, RTRiangle)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,25.366657953109097,"🔹[OSP] Throw-in(L, DZ, flip the pressure, switch)✅🔍",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,26.086887968491283,"🔸[OP3b]Mid Block(LW eliminated, shot from RB)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,27.781503853022514,"🔹[IP1a]GK Restart(OS, long under pressure)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,13.5,"🔹[IP1a]GK Restart(OS, short, quick around, into the 10, foul won)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,19.530006845281605,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,34.149944607118414,"🔸[OP2]High Press(OS, long, 1st contact not clean, shot conceded)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,38.63404156325305,"🔹[IP1a]GK Restart(OS, short, around, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,53.153209547394,🔸[OP4]Low Block(L→R triangles)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,34.0641652779741,"🔹[IP1a]GK Restart(HBlock, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,21.657854383735867,🔹[IP4]Attacking Phase(6 IB for LW)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,22.671445871829746,"🔹[IP2]Low Build-up(OS, short, LCB steps in for 10)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,14.210714705099235,"🔹[OSP] Corner(L, mid zone, blocks, runs, delivery)✅",0,,,,,,,,,,,,,,,,,,,,,,,✅✅,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,17.10888851616164,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,17.692819456686266,"🔹[OSP] Free kick(L, wide, blocks/targets, 2nd balls)✅✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,12.0,🔸[OP1a]GK Restart(HBlock)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,21.347956154320855,"🔹[OSP] Throw-in(L, DZ, flip the pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,.
260228_Bournemouth_Sunderland_ANALYST,0.0,18.973649286359432,"🔸[OP3b]Mid Block(RSide, LCB steps in, depth control)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,.
