Timeline,Start time,Duration,Row,Instance number,<flag>.,Event,Half,Pass,Player,Team,Zone,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[OSP],Ungrouped,Notes,Flags
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,24.599955810657775,🔹[I2a] Low Build-Up(flip the pressure)🚧,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,34.550915096673634,"🔸[OP3b] Mid Block(switch 4-4-2, 5-4-1)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,28.580475895900236,"🔹[I1a] GK Restarts(OS, long, turnover)❌",0,,,,,,,,,,,,,"OS: LONG, Fullback, OS: LONG, Front 3",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,13.492955598517256,"🔸[OP4] Low Block(RSide, cross, shot)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.705555376207485,"🔸[DSP] Defending Corner(R, 2nd phase)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,17.5,"🔹[I1a] GK Restarts(HB, turnover)❌",0,,,,,,,,,,,,,"Compact Shape: LONG, Compact Shape: LONG",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,34.95604611608451,"🔸[OP4] Low Block(LTriangle, switch RTRiangle, shot)🚧⚠️",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.428632438012755,"🔸[DSP] Defending Corner(R, 2nd phase)✅",0,,,,,,,,Central,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,21.48603237549287,🔸[OP4] Low Block(cross)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,11.120020692284015,"🔸[DSP] Defending Corner(R, 3-men)✅",0,,,,,,,,Central,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,31.763364959242608,"🔹[I1a] GK Restarts(HB, 2nd ball)✅",0,,,,,,,,,,,,,Compact Shape: LONG,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,33.5,"🔹[I2a] Low Build-Up(opportunity to keep the ball high, unnecessary loss of space)❌⚠️",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,48.53469148014483,🔹[I3b] Progression(willingness to play forward under pressure)✅🔎,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,44.60174694426496,🔹[IP3a] Progression(pattern to escape the press?)🚧🔎,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,37.96904745230859,"🔹[I2a] Low Build-Up(IB the winger with the LFB, steps in, IB for the striker, cross)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,17.598585274969082,"🔹[OSP] Attacking Throw In(R, MZ)❌",0,,,,,,,,,,,,,,Right,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,37.72008880895737,"🔸[OP4] Low Block(RTriangle, switch LTRiangle, cross)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.870158201689264,"🔸🔹Defensive Transition(low turnover, 2 shots)❌❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,21.13013290570234,"🔸[OP4] Low Block(cross, header)❌❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.5,"🔸[OP4] Low Block(turnover, shot)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,25.78730760840699,"🔹[I1a] GK Restarts(8"", around)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,17.086962610702358,"🔸[OP4] Low Block(5-4-1, RTRiangle, shot)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,60.775995471527494,"🔸[OP4] Low Block(5-4-1, long sequence over multiple phases, ends in foul)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,39.66584919361412,🔸[DSP] Defending Free Kick(2 phases)✅,0,,,,,,,,Central,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,25.443270918718554,"🔸[OP4] Low Block(5-4-1, delays RSide, cross)🚧",0,,,,,,,,,,,Side Overloads,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,23.799907112524124,"🔸[OP4] Low Block(5-4-1, RTriangle, cross)🚧",0,,,,,,,,,,,Side Overloads,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,46.67722882389535,"🔸[OP4] Low Block(5-4-1, multiple phases, 2 crosses RSide, marking??)❌❌",0,,,,,,,,,,,Side Overloads,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,23.28997500283458,"🔹[I1a] GK Restarts(HB, 2nd ball)✅",0,,,,,,,,,,,,,Compact Shape: LONG,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,27.017904015112435,🔹[IP4] Attacking Phase(positional play from 5-4-1)🔎,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,15.270077412131286,"🔹[OSP] Attacking Throw In(R, HZ)🚧",0,,,,,,,,,,,,,,Right,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,13.609962511337471,🔹[OSP] Attacking Free Kick(R)🚧,0,,,,,,,,,,,,,,"Right, Right",,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,17.488740537493868,"🔸[OP4] Low Block(5-4-1, LSide, shot)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,24.867732646477634,"🔹[I1a] GK Restarts(8"", long ball, throw-in)✅",0,,,,,,,,,,,,,"OS: LONG, Front 3",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,15.935420843292377,"🔹[OSP] Attacking Throw In(L, MZ)🚧",0,,,,,,,,,,,,,,Left,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,21.5,"🔹[I2a] Low Build-Up(long ball in behind winger with LFB, foul)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,15.983717716990213,"🔹[OSP] Attacking Free Kick(L, off side)🚧",0,,,,,,,,,,,,,,Left,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,25.219898700905105,"🔸[OP4] Low Block(5-4-1, low turnover, cross)✅",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,22.3957982955817,"🔹[I1a] GK Restarts(8"", long, 2nd ball)✅",0,,,,,,,,,,,,,"OS: LONG, Front 3",,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,21.35599981190262,"🔸[OP4] Low Block(diag, 1v1, shot deflected)✅🔎",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,26.99632910096807,🔹🔸Offensive transition(keep the ball)✅,0,,,,,,,,,Fast Attack,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,11.058266679782719,🔹[OSP] Attacking Corner(L)✅,0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,11.853675710232892,🔹[OSP] Attacking Corner(R)✅,0,,,,,,,,,,,,,,Right,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,19.360113374465072,"🔸[OP4] Low Block(5-4-1, LSide, easy cross)❌",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,13.886747911027669,"🔹[I1a] GK Restarts(HB, inaccurate pass)❌",0,,,,,,,,,,,,,Compact Shape: LONG,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.876734167197355,"🔸[OP4] Low Block(5-4-1, LSide, 1v1, cross)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,18.890093879099368,"🔸[OP4] Low Block(5-4-1, RSide, cross)❌⚠️",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,21.0,"🔸[OP4] Low Block(5-4-1, shot)🚧",0,,,,,,,,,,,,,,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,14.609964036280871,"🔹[I1a] GK Restarts(HB, throw-in)✅",0,,,,,,,,,,,,,Compact Shape: LONG,,,,.
250927_NottinghamForest_Sunderland_ANALYSTFULL,0.0,31.387483696176787,"🔹[IP4] Attacking Phase(2nd ball, attack the box)✅✅",0,,,,,,,,,,,,,,,,,.
