Timeline,Start time,Duration,Row,Instance number,<flag>.,✅✅,❌❌,Ungrouped,Notes,Flags
Tactical_with_scoreboard,0.0,60.5054753286222,"🔸[OP2]High Press(unability to press, easy ball IB)❌⚠️",0,,,,,,.
Tactical_with_scoreboard,0.0,24.235952339087817,"🔸[OP3b]Mid Block(mid regain, LSide)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,12.587950777337028,🔸🔹Offensive transition(cheap turnover)❌⚠️,0,,,,,,.
Tactical_with_scoreboard,0.0,14.939863235065786,"🔹🔸Defensive transition(CA, IB, 1v1, shot off target)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,21.39037083232506,"🔹[IP1a]GK Restart(OS, long into the 9, IB)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,22.200129529892365,"🔹[OSP] Throw-in(R, MZ, inside to the 9)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,13.970081978988674,"🔹[IP2]Low Build-up(OS, short, through)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,34.56555471503452,"🔹[IP4]Attacking Phase(IB, into the 9 & support, cross/shot)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,22.63014659635246,"🔹🔸Defensive transition(CA, tactical foul)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,15.19345231450825,🔸[DSP] Free kick(deep)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,50.01666182099143,"🔹[IP1a]GK Restart(HBlock, 2nd ball, shot)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,13.5,"🔸🔹Offensive transition(regain, forward, shot off target)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,23.561904730414426,"🔸[OP1a]GK Restart(OS, long, 1st contact, cheap turnover, shot conceded)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,28.95737377820842,"🔹[IP1a]GK Restart(HBlock, 2nd ball, cross conceded)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,22.50645041920143,"🔹[OSP] Throw-in(R, DZ, into the 9, support/IB)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,30.56013776153668,"🔸[OP1a]GK Restart(HBlock, block, 2nd ball)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,15.462532586383531,"🔹[OSP] Corner(L, back post, foul)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,19.37785017044189,"🔸[OP1a]GK Restart(HBlock, 1st contact, 2nd ball, composure under pressure)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,32.35310953364751,🔹[IP3a]Progression(face the pressure)✅⭐️,0,,,,,,.
Tactical_with_scoreboard,0.0,13.0,🔹[IP4]Attacking Phase(LW into the trap)❌,0,,,,,,.
Tactical_with_scoreboard,0.0,41.88942168729136,"🔹[IP3b]Progression(through the 10, cutback)✅✅⚽️",0,,,,,,.
Tactical_with_scoreboard,0.0,34.272530547721544,🔸[DSP] Kick-off✅,0,,,,,,.
Tactical_with_scoreboard,0.0,29.400182873425365,"🔸[DSP] Free kick(deep, R)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,16.44636698648719,"🔸[DSP] Free kick(central, shot deflected)🚧",0,,,,❌❌,,.
Tactical_with_scoreboard,0.0,34.74421413176242,"🔸[DSP] Corner(R, front post, 2nd phase)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,17.013446301976728,🔸🔹Offensive transition(quick turnover)❌,0,,,,,,.
Tactical_with_scoreboard,0.0,52.5646058196653,🔸[OP4]Low Block(discipline)✅,0,,,,,,.
Tactical_with_scoreboard,0.0,18.27010789558699,"🔹[IP1a]GK Restart(HBlock, 2nd ball)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,17.460093562582188,"🔸[DSP] Free kick(deep, consistency)✅⭐️",0,,,,,,.
Tactical_with_scoreboard,0.0,17.990104543918278,"🔸🔹Offensive transition(CA, intention??)❌",0,,,,,,.
Tactical_with_scoreboard,0.0,12.460063090572476,"🔸[DSP] Free kick(deep, 2-man)✅",0,,,,,,.
Tactical_with_scoreboard,0.0,5.420027120395389,"🔸[DSP] Throw-in(L, HZ, long)✅",0,,,,,,.
