Timeline,Start time,Duration,Row,Instance number,<flag>.,Adversaire,Contexte,Date,Event,HALF TIME,Half,Journée,Lieu,MINUTE,Pass,Player,Pourcentage,Qualite,Score final,TIME PERIOD,Team,Type action,Zone,✅✅,❌❌,🔸🔹[OT] Keep the ball,🔹🔸[DT] Back in,Ungrouped,Notes,Flags
260314_Sunderland_Brighton_ANALYST,0.0,12.58007955782341,🔹[IP5]Attack the Box(LSide cross)🚧,0,,,,,Pass,,Second Half,,,,Cross,Chemsdine Talbi,,,,,Sunderland,,Center,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,15.683442732728508,"🔹[OSP] Corner(L, poor delivery)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,19.171664932366184,"🔹[OSP] Throw-in(L, MZ)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.410949664091277,🔹[IP4]Attacking Phase(RCB IB to the 9)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.901764480697238,"🔹[OSP] Throw-in(R, HZ, quick)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,37.67669439651036,🔹[IP3a]Progression(sustain the attack)✅,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,21.318031572254768,"🔸[OP1a]GK Restart(OS, long, clean)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,46.19195964898972,"🔹[IP1b]GK Restart(OS, long under pressure, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,26.295522228608206,🔹🔸Defensive transition(good conter-press)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,24.610881547561803,"🔹[IP4]Attacking Phase(give & go, shot)✅⭐️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,40.61589481338797,"🔸[OP1a]GK Restart(OS, long, 1st contact, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,26.008404077681917,🔸[OP2]High Press(MFM press)✅⭐️,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,21.35853121754826,"🔹[OSP] Throw-in(R, DZ, flip the pressure)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,29.58600000000024,"Game management(poor throw-in, counter-attack)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,19.791283123308858,🔹🔸Defensive transition(counter-attack)❌❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,26.170222196231407,"🔹[IP1a]GK Restart(OS, long under pressure, 2nd ball, set up?)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,39.99293750501329,"🔸[OP1b]GK Restart(OS, short, track the runners)❌⚠️",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,20.67009417126428,🔸[OP4]Low Block(LTRiangle)✅🔍,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,25.996231103614264,"🔹[IP1a]GK Restart(OS, long under pressure, 2nd ball)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,24.11286198983271,"🔹[IP1a]GK Restart(OS, long, 2nd ball)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,9.740048150230905,"🔹[OSP] Throw-in(R, MZ, quick)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,17.858070791313366,"🔸[OP2]High Press(OS, long)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,26.849680283935413,"🔹[IP2]Low Build-up(OS, short, 2 phases, regain)✅",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,22.387836787582273,🔹[IP3b]Progression(RTriangle)🚧,0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,24.12418761214758,"🔹[OSP] Throw-in(R, HZ, long, 2nd phase)✅✅",0,,,,,,,,,,,,,,,,,,,,,,,,✅✅,,.
260314_Sunderland_Brighton_ANALYST,0.0,16.952365994357933,"🔹[OSP] Free kick(R, wide, regain)🚧",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
260314_Sunderland_Brighton_ANALYST,0.0,13.886502057260259,"🔹[OSP] Free kick(R, wide, poor delivery)❌",0,,,,,,,,,,,,,,,,,,,,,,,,,,.
